"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.428474097E0,-2.399999946E-1,1.000500011E1,1.067999959E0,1.006470323E1
1.433483246E0,-2.399999946E-1,1.004300022E1,9.150000215E-1,1.008745154E1
1.438492630E0,-1.630000025E-1,1.008199978E1,8.769999743E-1,1.012138417E1
1.443501400E0,-2.010000050E-1,9.967000008E0,8.389999866E-1,1.000426965E1
1.448510395E0,-2.010000050E-1,1.000500011E1,6.470000148E-1,1.002791291E1
1.453519395E0,-2.010000050E-1,9.967000008E0,6.850000024E-1,9.992532970E0
1.458528880E0,-1.630000025E-1,9.967000008E0,6.470000148E-1,9.989307642E0
1.463538573E0,-2.010000050E-1,9.928000450E0,6.090000272E-1,9.948692124E0
1.468548428E0,-8.600000292E-2,1.000500011E1,6.850000024E-1,1.002879097E1
1.473557735E0,-1.250000000E-1,1.000500011E1,7.620000243E-1,1.003475442E1
1.478567582E0,-2.399999946E-1,1.008199978E1,8.000000119E-1,1.011653693E1
1.483576658E0,-2.779999971E-1,1.015799999E1,8.389999866E-1,1.019638018E1
1.488586375E0,-2.399999946E-1,1.008199978E1,9.150000215E-1,1.012627990E1
1.493595683E0,-3.160000145E-1,1.000500011E1,9.919999838E-1,1.005902318E1
1.498604404E0,-3.160000145E-1,1.015799999E1,1.144999981E0,1.022721100E1
1.503611712E0,-3.160000145E-1,1.008199978E1,1.144999981E0,1.015172894E1
1.508619481E0,-2.399999946E-1,1.004300022E1,1.067999959E0,1.010247877E1
1.513626544E0,-2.010000050E-1,1.023499966E1,1.144999981E0,1.030080793E1
1.518634005E0,-8.600000292E-2,1.019600010E1,1.067999959E0,1.025214309E1
1.523641313E0,-1.250000000E-1,1.015799999E1,9.919999838E-1,1.020708836E1
1.528648722E0,-8.600000292E-2,1.008199978E1,1.067999959E0,1.013877406E1
1.533655799E0,-8.600000292E-2,1.011999989E1,9.919999838E-1,1.016886708E1
1.538663106E0,-8.600000292E-2,1.015799999E1,1.029999971E0,1.021044856E1
1.543670332E0,-8.600000292E-2,1.004300022E1,9.919999838E-1,1.009224026E1
1.548677640E0,-4.800000042E-2,1.008199978E1,9.150000215E-1,1.012354921E1
1.553685173E0,-1.250000000E-1,1.011999989E1,8.769999743E-1,1.015869832E1
1.558692250E0,-4.800000042E-2,1.008199978E1,8.389999866E-1,1.011696321E1
1.563699087E0,-1.250000000E-1,1.004300022E1,9.539999962E-1,1.008898382E1
1.568706395E0,-1.250000000E-1,1.008199978E1,9.539999962E-1,1.012780630E1
1.573713799E0,-1.630000025E-1,9.928000450E0,9.539999962E-1,9.975062803E0
1.578720799E0,-2.399999946E-1,1.008199978E1,8.000000119E-1,1.011653693E1
1.583727491E0,-1.630000025E-1,1.008199978E1,9.919999838E-1,1.013199647E1
1.588734640E0,-2.779999971E-1,9.967000008E0,8.769999743E-1,1.000937071E1
1.593741332E0,-2.779999971E-1,1.000500011E1,9.539999962E-1,1.005422435E1
1.598747871E0,-2.010000050E-1,9.967000008E0,8.000000119E-1,1.000107445E1
