"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.308702420E-1,3.339999914E-1,8.319000244E0,5.359000206E0,9.901323359E0
8.358788410E-1,3.720000088E-1,8.319000244E0,5.359000206E0,9.902678036E0
8.408863030E-1,3.339999914E-1,8.319000244E0,5.396999836E0,9.921941760E0
8.458946870E-1,2.960000038E-1,8.357999802E0,5.435999870E0,9.974661462E0
8.509028410E-1,3.339999914E-1,8.395999908E0,5.435999870E0,1.000772027E1
8.559112360E-1,3.720000088E-1,8.357999802E0,5.473999977E0,9.997960814E0
8.609197740E-1,4.490000010E-1,8.243000031E0,5.473999977E0,9.905217123E0
8.659286390E-1,4.110000134E-1,8.319000244E0,5.473999977E0,9.966913355E0
8.709370240E-1,5.260000229E-1,8.319000244E0,5.359000206E0,9.909658132E0
8.759457160E-1,4.490000010E-1,8.281000137E0,5.282000065E0,9.832399959E0
8.809538700E-1,4.110000134E-1,8.281000137E0,5.359000206E0,9.872323308E0
8.859623420E-1,3.720000088E-1,8.319000244E0,5.243999958E0,9.840918891E0
8.909708030E-1,2.960000038E-1,8.243000031E0,5.129000187E0,9.712945404E0
8.959791150E-1,4.110000134E-1,8.395999908E0,5.282000065E0,9.927802383E0
9.009878840E-1,4.110000134E-1,8.357999802E0,5.243999958E0,9.875455294E0
9.059951920E-1,4.869999886E-1,8.395999908E0,5.205999851E0,9.891027141E0
9.110018020E-1,5.260000229E-1,8.395999908E0,5.321000099E0,9.954020923E0
9.160085710E-1,7.170000076E-1,8.472999573E0,5.396999836E0,1.007141589E1
9.210148750E-1,6.409999728E-1,8.472999573E0,5.435999870E0,1.008725420E1
9.260216440E-1,7.170000076E-1,8.434000015E0,5.435999870E0,1.005964909E1
9.310275470E-1,6.790000200E-1,8.434000015E0,5.435999870E0,1.005701207E1
9.360333170E-1,7.549999952E-1,8.319000244E0,5.435999870E0,9.966237236E0
9.410401880E-1,7.170000076E-1,8.472999573E0,5.205999851E0,9.970368359E0
9.460481880E-1,6.409999728E-1,8.510999680E0,5.091000080E0,9.938122475E0
9.510567690E-1,5.260000229E-1,8.510999680E0,5.013999939E0,9.892117415E0
9.560648460E-1,5.640000105E-1,8.510999680E0,4.938000202E0,9.855914851E0
9.610714670E-1,4.490000010E-1,8.434000015E0,4.938000202E0,9.783547580E0
9.660784670E-1,5.260000229E-1,8.395999908E0,4.938000202E0,9.754657169E0
9.710849320E-1,5.260000229E-1,8.434000015E0,5.052999973E0,9.845904784E0
9.760916250E-1,5.260000229E-1,8.434000015E0,5.091000080E0,9.865460663E0
9.810982400E-1,3.720000088E-1,8.357999802E0,5.091000080E0,9.793509407E0
9.861051010E-1,3.720000088E-1,8.281000137E0,5.052999973E0,9.708045942E0
9.911138700E-1,3.720000088E-1,8.357999802E0,5.166999817E0,9.833230995E0
9.961224670E-1,3.339999914E-1,8.357999802E0,5.243999958E0,9.872550442E0
1.001130775E0,1.809999943E-1,8.319000244E0,5.282000065E0,9.855863775E0
1.006139784E0,2.189999968E-1,8.281000137E0,5.359000206E0,9.866195188E0
1.011148553E0,2.960000038E-1,8.357999802E0,5.243999958E0,9.871337916E0
1.016157260E0,3.339999914E-1,8.243000031E0,5.321000099E0,9.816906211E0
1.021165952E0,2.569999993E-1,8.319000244E0,5.282000065E0,9.857552371E0
1.026174418E0,2.189999968E-1,8.319000244E0,5.321000099E0,9.877589185E0
1.031182956E0,2.189999968E-1,8.281000137E0,5.282000065E0,9.824583908E0
1.036191866E0,3.339999914E-1,8.319000244E0,5.243999958E0,9.839555712E0
1.041200635E0,3.720000088E-1,8.281000137E0,5.282000065E0,9.829184705E0
1.046209399E0,3.720000088E-1,8.319000244E0,5.243999958E0,9.840918891E0
1.051217937E0,4.869999886E-1,8.319000244E0,5.396999836E0,9.928269803E0
1.056225942E0,5.260000229E-1,8.510999680E0,5.359000206E0,1.007137899E1
1.061234404E0,6.019999981E-1,8.472999573E0,5.166999817E0,9.942434957E0
1.066242250E0,5.260000229E-1,8.548999786E0,5.052999973E0,9.944590595E0
1.071250558E0,4.869999886E-1,8.626000404E0,5.052999973E0,1.000888908E1
1.076259385E0,4.490000010E-1,8.586999893E0,5.205999851E0,1.005189547E1
1.081267693E0,5.640000105E-1,8.586999893E0,5.091000080E0,9.998647158E0
1.086276558E0,3.720000088E-1,8.472999573E0,4.938000202E0,9.813967178E0
1.091285096E0,4.110000134E-1,8.434000015E0,5.129000187E0,9.879672069E0
1.096294351E0,3.720000088E-1,8.434000015E0,5.166999817E0,9.897910253E0
1.101302967E0,2.960000038E-1,8.357999802E0,5.243999958E0,9.871337916E0
1.106311404E0,2.960000038E-1,8.472999573E0,5.282000065E0,9.988937003E0
1.111319866E0,2.189999968E-1,8.434000015E0,5.205999851E0,9.913765768E0
1.116326389E0,2.189999968E-1,8.357999802E0,5.166999817E0,9.828632092E0
1.121332312E0,2.960000038E-1,8.434000015E0,5.166999817E0,9.895345338E0
1.126338389E0,3.339999914E-1,8.357999802E0,5.282000065E0,9.892787340E0
1.131345250E0,4.110000134E-1,8.434000015E0,5.243999958E0,9.939859799E0
1.136352250E0,3.720000088E-1,8.434000015E0,5.321000099E0,9.979167416E0
1.141359317E0,3.339999914E-1,8.357999802E0,5.321000099E0,9.913665252E0
1.146365702E0,3.720000088E-1,8.395999908E0,5.282000065E0,9.926264310E0
1.151372226E0,3.339999914E-1,8.434000015E0,5.205999851E0,9.916972658E0
